participant,AssignBooklet,diff01_Q1,diff01_Q2,diff01_Q3,diff01_Q4,diff01_Q5,diff01_Q6,diff01_Q7,diff01_Q8,easy02_Q1,easy02_Q2,easy02_Q3,easy02_Q4,diff03_Q1,diff03_Q2,diff03_Q3,diff03_Q4,easy04_Q1,easy04_Q2,easy04_Q3,easy04_Q4,diff05_Q1,diff05_Q2,diff05_Q3,diff05_Q4,easy06_Q1,easy06_Q2,easy06_Q3,easy06_Q4,diff07_Q1,diff07_Q2,diff07_Q3,diff07_Q4,easy08_Q1,easy08_Q2,easy08_Q3,easy08_Q4,easy01_Q1,easy01_Q2,easy01_Q3,easy01_Q4,easy01_Q5,easy01_Q6,easy01_Q7,easy01_Q8,diff02_Q1,diff02_Q2,diff02_Q3,diff02_Q4,easy03_Q1,easy03_Q2,easy03_Q3,easy03_Q4,diff04_Q1,diff04_Q2,diff04_Q3,diff04_Q4,easy05_Q1,easy05_Q2,easy05_Q3,easy05_Q4,diff06_Q1,diff06_Q2,diff06_Q3,diff06_Q4,easy07_Q1,easy07_Q2,easy07_Q3,easy07_Q4,diff08_Q1,diff08_Q2,diff08_Q3,diff08_Q4
s.28a9de55-ec17-493b-9997-ae84bf93f62c,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s.a5202c49-157a-4b39-bd55-e2cde3a11ad0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1
s.14d07bbe-aa60-496f-b597-02705b3e8d7c,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s.55de7dab-41e5-4ae1-9ee3-6e658c7d0bc4,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s.a2f3c6ea-0467-4e0f-b094-4f22ce4f18a8,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s.11f71836-251f-4485-887e-9cced351cc71,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1
s.6a06a795-232b-40f4-8196-ee6e093ee3a2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0
s.017b5c87-45f4-4f33-9fad-258060005283,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s.9c8f2aff-8a53-4043-a99d-8f0ac8cbe47c,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
s.9c59f5d0-e1b2-44bf-964e-29685f3113db,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
