participant,AssignBooklet,wherecome,gender,gender_other,birthyear,finalcheck,source,honest,endcode,TIME_start,TIME_end,TIME_total
s.28a9de55-ec17-493b-9997-ae84bf93f62c,1,1,2,NA,1983,3,龔俊嘉老師成立之臉書分頁NCKUPSY_ExpPsy_2020Fall,1,aUOWUdmrCQ,2021-01-20-08-21,2021-01-20-09-07,46
s.a5202c49-157a-4b39-bd55-e2cde3a11ad0,2,1,2,NA,2000,4,上課課程,1,v4dQg6eV2a,2021-01-11-09-59,2021-01-11-10-19,20
s.a2f3c6ea-0467-4e0f-b094-4f22ce4f18a8,1,1,2,NA,2000,2,課堂老師,1,zYBabBdB83,2021-01-10-13-37,2021-01-10-14-05,28
s.017b5c87-45f4-4f33-9fad-258060005283,1,1,1,NA,1998,2,課程老師與助教,0,7b3nsuFvKZ,2021-01-20-14-05,2021-01-20-14-37,32
s.9c8f2aff-8a53-4043-a99d-8f0ac8cbe47c,2,1,2,NA,2001,4,心理學實驗（一））,0,aFZtC28VX4,2021-01-19-15-51,2021-01-19-16-12,21
s.9c59f5d0-e1b2-44bf-964e-29685f3113db,1,1,2,NA,1998,2,成功大學心理系-心理實驗法課堂,1,HA5qaBax4j,2021-01-14-09-53,2021-01-14-10-23,30
s.7fed2f31-a494-46c3-abe8-8f42069a3d26,1,1,2,NA,2001,2,NA,0,WbhNNOuK2y,2021-01-14-21-36,2021-01-18-11-23,5147
s.cb72fee7-7fc6-47f7-9ece-2793ec87bd50,2,1,1,NA,2000,2,心理實驗法fb,1,nNyAWJ8VaL,2021-01-11-20-15,2021-01-11-20-44,29
s.177aad54-45f8-4797-9ae2-0473d8953645,2,1,1,NA,1999,2,成大心理系,0,73YECWNkY3,2021-01-20-15-09,2021-01-20-15-31,22
s.b2c0ddc5-310c-495c-ad1a-7a0c14ef72ef,1,1,2,NA,2000,2,成大心理實驗法課程,1,CjDpADszGO,2021-01-10-14-31,2021-01-10-14-56,25
s.99429918-e1e4-4e2f-8f1e-601486d57ef2,1,1,2,NA,2000,2,成大心理實驗法的社團,1,SVW5TrhgTz,2021-01-10-17-31,2021-01-10-17-53,22
s.337cd326-4a12-4e55-8680-08aed94e6aea,2,3,2,NA,2000,2,成大心理老师发的,1,ED5dq2NJpq,2021-01-09-13-17,2021-01-09-13-44,27
s.6c863b12-a322-4e92-83b5-7e2a888e36ed,1,1,2,NA,2000,4,心理實驗法課程,1,fUnHXx4bFS,2021-01-13-07-03,2021-01-13-07-26,23
s.1e270130-d18a-449e-af6d-715f5e11b661,1,1,1,NA,2001,2,NA,0,wpJhmjAzQt,2021-01-18-12-56,2021-01-18-13-10,14
s.75f3f380-8ab6-4aa1-97d3-da5288c926b8,1,1,1,NA,2001,2,成估大學心理實驗法課程,1,SgvPONnwK4,2021-01-11-07-24,2021-01-11-07-49,25
